number,fertilization,thermoregulation,class,order,family,species,body_mass,body_mass_log,souce_body_mass,sperm_length,sperm_length_log,source_sperm_length,testes_mass,testes_mass_log,source_testes_mass,clutch_size,clutch_size_log,source_clutch_size,genome_size,source_genome_size
526,internal,endotherm,Mammalia,Rodentia,Muridae,Abeomelomys sevia,56.39,1.75,Etard et al 2020,174.2,2.241048151,Fitzpatrick et al 2022,0.85,-0.07,Baker et al 2020,1,0,Etard et al 2020,,
297,internal,endotherm,Aves,Passeriformes,Phylloscopidae,Abrornis chloronotus,5.68,0.75,Etard et al 2020,100.05,2.000217093,Fitzpatrick et al 2022,,,,4.4,0.643452676,Etard et al 2020,,
299,internal,endotherm,Aves,Passeriformes,Phylloscopidae,Abrornis maculipennis,5.18,0.71,Etard et al 2020,80.78,1.907303849,Fitzpatrick et al 2022,0.21,-0.68,Supriya et al 2016,,,,,
365,internal,endotherm,Aves,Passeriformes,Fringillidae,Acanthis flammea,11.99,1.08,Baker et al 2020,194.66,2.289276719,Fitzpatrick et al 2022,0.39,-0.41,Baker et al 2020,4.9,0.69019608,Jetz et al 2008,,
156,internal,endotherm,Aves,Passeriformes,Acanthizidae,Acanthiza pusilla,7.62,0.88,Etard et al 2020,105.83,2.024608796,Fitzpatrick et al 2022,0.11,-0.96,Baker et al 2020,2.7,0.431363764,Etard et al 2020,,
239,internal,endotherm,Aves,Passeriformes,Meliphagidae,Acanthorhynchus tenuirostris,10.26,1.01,Etard et al 2020,52.75,1.722222464,Fitzpatrick et al 2022,0.12,-0.92,Baker et al 2020,2.1,0.322219295,Etard et al 2020,,
1019,internal,endotherm,Aves,Accipitriformes,Accipitridae,Accipiter gentilis,943.77,2.97,Etard et al 2020,63,1.799340549,Fitzpatrick et al 2022,7.29,0.86,Baker et al 2020,3.5,0.544068044,Etard et al 2020,,
606,internal,endotherm,Mammalia,Carnivora,Felidae,Acinonyx jubatus,48638.96,4.69,Etard et al 2020,64.1,1.80685803,Fitzpatrick et al 2022,10.99,1.04,Baker et al 2020,3.16,0.499687083,Etard et al 2020,2.56,Animal genome size database
802,internal,endotherm,Mammalia,Rodentia,Muridae,Acomys cahirinus,43.18,1.64,Etard et al 2020,124,2.093421685,Fitzpatrick et al 2022,0.51,-0.29,Baker et al 2020,2.45,0.389166084,Etard et al 2020,2.64,Animal genome size database
1030,internal,endotherm,Mammalia,Rodentia,Muridae,Acomys dimidiatus,45.2,1.66,Etard et al 2020,124,2.093421685,Fitzpatrick et al 2022,,,,2.47,0.392696953,Etard et al 2020,,
1128,internal,endotherm,Mammalia,Rodentia,Octodontidae,Aconaemys fuscus,129.95,2.11,Etard et al 2020,40.8,1.610660163,Fitzpatrick et al 2022,,,,3.23,0.509202522,Etard et al 2020,3.75,Animal genome size database
1129,internal,endotherm,Mammalia,Rodentia,Octodontidae,Aconaemys porteri,113.5,2.05,Etard et al 2020,38.7,1.587710965,Fitzpatrick et al 2022,,,,3.23,0.509202522,Etard et al 2020,3.7,Animal genome size database
1130,internal,endotherm,Mammalia,Rodentia,Octodontidae,Aconaemys sagei,96.5,1.98,Etard et al 2020,46.4,1.666517981,Fitzpatrick et al 2022,,,,,,,3.7,Animal genome size database
1366,internal,ectotherm,Reptilia,Squamata,Scincoidae,Acontias meleagris,29.79,1.47,Etard et al 2020,123.01,2.089940418,Fitzpatrick et al 2022,,,,3,0.477121255,Etard et al 2020,,
354,internal,endotherm,Aves,Passeriformes,Acrocephalidae,Acrocephalus arundinaceus,30,1.48,Etard et al 2020,90.03,1.95438725,Fitzpatrick et al 2022,0.46,-0.34,Baker et al 2020,4.2,0.62324929,Etard et al 2020,,
158,internal,endotherm,Aves,Passeriformes,Acrocephalidae,Acrocephalus baeticatus,10.2,1.01,Etard et al 2020,109.35,2.038818787,Fitzpatrick et al 2022,0.05,-1.32,Immler et al 2011,2.55,0.40654018,Etard et al 2020,1.33,Animal genome size database
